Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,47000,,,2.533928632736206,5.521247863769531,5.623350143432617,35.81575393676758,0.718,0.001
,,,,,47026,-35.574417,86,,,,,,
,,,,,47115,-53.34935,89,,,,,,
,,,,,47230,-71.46407,115,,,,,,
,,,,,47300,-98.88002,70,,,,,,
,,,,,47388,-67.01598,88,,,,,,
,,,,,47497,-130.29726,109,,,,,,
,,,,,47655,-132.82266,158,,,,,,
,,,,,47736,-57.839607,81,,,,,,
,,,,,47824,-48.304768,88,,,,,,
,,,,,47896,-84.33363,72,,,,,,
,,,,,47992,-56.764256,96,,,,,,
,,,,,48000,,,2.124380350112915,16.158416748046875,15.857954025268555,25.38570785522461,0.712,0.001
,,,,,48080,-75.99451,88,,,,,,
,,,,,48198,-121.25967,118,,,,,,
,,,,,48259,-62.15262,61,,,,,,
,,,,,48370,-114.85874,111,,,,,,
,,,,,48456,-60.521713,86,,,,,,
,,,,,48595,-70.636444,139,,,,,,
,,,,,48699,-66.71681,104,,,,,,
,,,,,48803,-68.11699,104,,,,,,
,,,,,48870,-52.73853,67,,,,,,
,,,,,49000,,,4.526268482208252,11.728610038757324,12.051523208618164,62.533199310302734,0.706,0.001
,,,,,49042,-110.95752,172,,,,,,
,,,,,49142,-107.115776,100,,,,,,
,,,,,49243,14.520943,101,,,,,,
,,,,,49348,-49.08105,105,,,,,,
,,,,,49448,-78.773834,100,,,,,,
,,,,,49575,-59.523254,127,,,,,,
,,,,,49688,-70.18553,113,,,,,,
,,,,,49779,-12.117653,91,,,,,,
,,,,,49846,-75.06329,67,,,,,,
,,,,,49962,-51.662945,116,,,,,,
-160.96805,55.21644,-102.713066,-269.17944,391.3,50000,,,21.786462783813477,1.2340373992919922,0.5665695667266846,82.29735565185547,0.7,0.001
,,,,,50042,-43.654213,80,,,,,,
,,,,,50117,-119.175766,75,,,,,,
,,,,,50188,-18.97313,71,,,,,,
,,,,,50258,-48.612015,70,,,,,,
